ti,repo,measurement_type,data_type,cadence,status,exp,sum,jobs,%Failure
02-DEC-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-DEC-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Error,42,-1,1,1.00
02-DEC-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,83,1,0.00
02-DEC-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-DEC-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Error,42,-1,1,1.00
02-DEC-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Error,42,-1,1,1.00
02-DEC-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,240,1,0.00
02-JAN-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-JAN-2023 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,84,89,2,0.00
02-JAN-2023 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,84,87,2,0.00
02-JAN-2023 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-JAN-2023 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
02-JUL-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-JUN-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-JUN-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-MAY-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-MAY-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-NOV-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-NOV-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-NOV-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-NOV-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-NOV-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-NOV-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-NOV-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-NOV-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
02-SEP-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Error,1932,-46,46,1.00
02-SEP-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Error,1848,-44,44,1.00
02-SEP-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
02-SEP-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Error,2184,-52,52,1.00
02-SEP-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Error,1680,-40,40,1.00
02-SEP-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Error,2058,-49,49,1.00
02-SEP-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
02-SEP-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Error,1764,-42,42,1.00
02-SEP-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Error,2058,-49,49,1.00
02-SEP-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Error,1848,-44,44,1.00
02-SEP-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
02-SEP-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Error,2100,-50,50,1.00
02-SEP-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
02-SEP-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Error,1722,-41,41,1.00
02-SEP-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Error,2058,-49,49,1.00
02-SEP-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Error,2142,-51,51,1.00
02-SEP-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Error,1764,-42,42,1.00
02-SEP-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
02-SEP-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Error,1680,-40,40,1.00
02-SEP-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
02-SEP-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Error,2142,-51,51,1.00
02-SEP-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
02-SEP-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Error,1848,-44,44,1.00
02-SEP-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
02-SEP-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Error,2100,-50,50,1.00
03-AUG-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,1218,1286,29,0.00
03-AUG-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,998,23,0.00
03-AUG-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1238,28,0.00
03-AUG-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1001,23,0.00
03-AUG-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,1218,1269,29,0.00
03-AUG-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,756,790,18,0.00
03-AUG-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Done,924,960,22,0.00
03-AUG-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,1008,1051,24,0.00
03-AUG-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1152,26,0.00
03-AUG-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,882,919,21,0.00
03-AUG-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Done,1302,1358,31,0.00
03-AUG-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,1050,1092,25,0.00
03-AUG-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Done,756,797,18,0.00
03-AUG-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,1302,1356,31,0.00
03-AUG-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,924,981,22,0.00
03-AUG-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Done,924,981,22,0.00
03-AUG-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1311,30,0.00
03-AUG-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1182,27,0.00
03-AUG-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Done,882,947,21,0.00
03-AUG-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1150,26,0.00
03-AUG-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,924,979,22,0.00
03-AUG-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1190,27,0.00
03-AUG-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1232,28,0.00
03-AUG-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1187,27,0.00
03-DEC-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-DEC-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-DEC-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-DEC-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-DEC-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-DEC-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-DEC-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-DEC-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-FEB-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
03-JAN-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,84,86,2,0.00
03-JAN-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JAN-2023 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JAN-2023 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JAN-2023 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JAN-2023 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
03-JAN-2023 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JAN-2023 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JAN-2023 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JUL-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JUL-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-JUN-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-MAR-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Error,798,-19,19,1.00
03-MAR-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Error,966,-23,23,1.00
03-MAY-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
03-NOV-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-NOV-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-NOV-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-NOV-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-NOV-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-NOV-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-NOV-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-NOV-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
03-OCT-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
03-SEP-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Error,2100,-50,50,1.00
03-SEP-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
03-SEP-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Error,2142,-51,51,1.00
03-SEP-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Error,1848,-44,44,1.00
03-SEP-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Error,2058,-49,49,1.00
03-SEP-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
03-SEP-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Error,1806,-43,43,1.00
03-SEP-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
03-SEP-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
03-SEP-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
03-SEP-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
03-SEP-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Error,1722,-41,41,1.00
03-SEP-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Error,1806,-43,43,1.00
03-SEP-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Error,2142,-51,51,1.00
03-SEP-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Error,1890,-45,45,1.00
03-SEP-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
03-SEP-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Error,1722,-41,41,1.00
03-SEP-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Error,1932,-46,46,1.00
03-SEP-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Error,1974,-47,47,1.00
03-SEP-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Error,1596,-38,38,1.00
03-SEP-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Error,2100,-50,50,1.00
03-SEP-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Error,2058,-49,49,1.00
03-SEP-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Error,2016,-48,48,1.00
03-SEP-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Error,2100,-50,50,1.00
04-APR-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,84,87,2,0.00
04-APR-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-AUG-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1326,30,0.00
04-AUG-2022 01,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1008,23,0.00
04-AUG-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1312,30,0.00
04-AUG-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1192,27,0.00
04-AUG-2022 04,GitLabs,Act-Ind,k-ind,3:00:00,Done,1218,1278,29,0.00
04-AUG-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,924,1004,22,0.00
04-AUG-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1245,28,0.00
04-AUG-2022 07,GitLabs,Act-Ind,k-ind,3:00:00,Done,1050,1088,25,0.00
04-AUG-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,840,876,20,0.00
04-AUG-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,1050,1099,25,0.00
04-AUG-2022 10,GitLabs,Act-Ind,k-ind,3:00:00,Done,924,970,22,0.00
04-AUG-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1320,30,0.00
04-AUG-2022 12,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1253,28,0.00
04-AUG-2022 13,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1147,26,0.00
04-AUG-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,1134,1178,27,0.00
04-AUG-2022 15,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1227,28,0.00
04-AUG-2022 16,GitLabs,Act-Ind,k-ind,3:00:00,Done,966,1018,23,0.00
04-AUG-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1157,26,0.00
04-AUG-2022 18,GitLabs,Act-Ind,k-ind,3:00:00,Done,1260,1316,30,0.00
04-AUG-2022 19,GitLabs,Act-Ind,k-ind,3:00:00,Done,1092,1150,26,0.00
04-AUG-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,1302,1367,31,0.00
04-AUG-2022 21,GitLabs,Act-Ind,k-ind,3:00:00,Done,756,792,18,0.00
04-AUG-2022 22,GitLabs,Act-Ind,k-ind,3:00:00,Done,1176,1231,28,0.00
04-AUG-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,1302,1359,31,0.00
04-DEC-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
04-DEC-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
04-DEC-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
04-DEC-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
04-DEC-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
04-DEC-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,172,1,0.00
04-DEC-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,187,1,0.00
04-DEC-2022 23,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,252,1,0.00
04-JAN-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-JAN-2022 14,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
04-JAN-2022 17,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-JAN-2022 20,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-JAN-2023 06,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-JAN-2023 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,44,1,0.00
04-JAN-2023 15,GitLabs,Act-Ind,k-ind,3:00:00,Done,84,87,2,0.00
04-JUL-2022 03,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-JUL-2022 09,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-JUN-2022 00,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-JUN-2022 06,GitLabs,Act-Ind,k-ind,3:00:00,Done,42,43,1,0.00
04-MAR-2022 02,GitLabs,Act-Ind,k-ind,3:00:00,Error,42,-1,1,1.00
04-MAR-2022 05,GitLabs,Act-Ind,k-ind,3:00:00,Error,84,-2,2,1.00
04-MAR-2022 08,GitLabs,Act-Ind,k-ind,3:00:00,Error,42,-1,1,1.00
04-MAR-2022 11,GitLabs,Act-Ind,k-ind,3:00:00,Error,42,-1,1,1.00
